Table of Neighbors:
At distance k = 1

i = 0;  6  1  31  30  5  11  
i = 1;  7  2  32  31  0  6  
i = 2;  8  3  33  32  1  7  
i = 3;  9  4  34  33  2  8  
i = 4;  10  5  35  34  3  9  
i = 5;  11  0  30  35  4  10  
i = 6;  12  7  1  0  11  17  
i = 7;  13  8  2  1  6  12  
i = 8;  14  9  3  2  7  13  
i = 9;  15  10  4  3  8  14  
i = 10;  16  11  5  4  9  15  
i = 11;  17  6  0  5  10  16  
i = 12;  18  13  7  6  17  23  
i = 13;  19  14  8  7  12  18  
i = 14;  20  15  9  8  13  19  
i = 15;  21  16  10  9  14  20  
i = 16;  22  17  11  10  15  21  
i = 17;  23  12  6  11  16  22  
i = 18;  24  19  13  12  23  29  
i = 19;  25  20  14  13  18  24  
i = 20;  26  21  15  14  19  25  
i = 21;  27  22  16  15  20  26  
i = 22;  28  23  17  16  21  27  
i = 23;  29  18  12  17  22  28  
i = 24;  30  25  19  18  29  35  
i = 25;  31  26  20  19  24  30  
i = 26;  32  27  21  20  25  31  
i = 27;  33  28  22  21  26  32  
i = 28;  34  29  23  22  27  33  
i = 29;  35  24  18  23  28  34  
i = 30;  0  31  25  24  35  5  
i = 31;  1  32  26  25  30  0  
i = 32;  2  33  27  26  31  1  
i = 33;  3  34  28  27  32  2  
i = 34;  4  35  29  28  33  3  
i = 35;  5  30  24  29  34  4  
At distance k = 2

i = 0;  7  32  25  35  10  17  
i = 1;  8  33  26  30  11  12  
i = 2;  9  34  27  31  6  13  
i = 3;  10  35  28  32  7  14  
i = 4;  11  30  29  33  8  15  
i = 5;  6  31  24  34  9  16  
i = 6;  13  2  31  5  16  23  
i = 7;  14  3  32  0  17  18  
i = 8;  15  4  33  1  12  19  
i = 9;  16  5  34  2  13  20  
i = 10;  17  0  35  3  14  21  
i = 11;  12  1  30  4  15  22  
i = 12;  19  8  1  11  22  29  
i = 13;  20  9  2  6  23  24  
i = 14;  21  10  3  7  18  25  
i = 15;  22  11  4  8  19  26  
i = 16;  23  6  5  9  20  27  
i = 17;  18  7  0  10  21  28  
i = 18;  25  14  7  17  28  35  
i = 19;  26  15  8  12  29  30  
i = 20;  27  16  9  13  24  31  
i = 21;  28  17  10  14  25  32  
i = 22;  29  12  11  15  26  33  
i = 23;  24  13  6  16  27  34  
i = 24;  31  20  13  23  34  5  
i = 25;  32  21  14  18  35  0  
i = 26;  33  22  15  19  30  1  
i = 27;  34  23  16  20  31  2  
i = 28;  35  18  17  21  32  3  
i = 29;  30  19  12  22  33  4  
i = 30;  1  26  19  29  4  11  
i = 31;  2  27  20  24  5  6  
i = 32;  3  28  21  25  0  7  
i = 33;  4  29  22  26  1  8  
i = 34;  5  24  23  27  2  9  
i = 35;  0  25  18  28  3  10  
At distance k = 3

i = 0;  12  2  26  24  4  16  
i = 1;  13  3  27  25  5  17  
i = 2;  14  4  28  26  0  12  
i = 3;  15  5  29  27  1  13  
i = 4;  16  0  24  28  2  14  
i = 5;  17  1  25  29  3  15  
i = 6;  18  8  32  30  10  22  
i = 7;  19  9  33  31  11  23  
i = 8;  20  10  34  32  6  18  
i = 9;  21  11  35  33  7  19  
i = 10;  22  6  30  34  8  20  
i = 11;  23  7  31  35  9  21  
i = 12;  24  14  2  0  16  28  
i = 13;  25  15  3  1  17  29  
i = 14;  26  16  4  2  12  24  
i = 15;  27  17  5  3  13  25  
i = 16;  28  12  0  4  14  26  
i = 17;  29  13  1  5  15  27  
i = 18;  30  20  8  6  22  34  
i = 19;  31  21  9  7  23  35  
i = 20;  32  22  10  8  18  30  
i = 21;  33  23  11  9  19  31  
i = 22;  34  18  6  10  20  32  
i = 23;  35  19  7  11  21  33  
i = 24;  0  26  14  12  28  4  
i = 25;  1  27  15  13  29  5  
i = 26;  2  28  16  14  24  0  
i = 27;  3  29  17  15  25  1  
i = 28;  4  24  12  16  26  2  
i = 29;  5  25  13  17  27  3  
i = 30;  6  32  20  18  34  10  
i = 31;  7  33  21  19  35  11  
i = 32;  8  34  22  20  30  6  
i = 33;  9  35  23  21  31  7  
i = 34;  10  30  18  22  32  8  
i = 35;  11  31  19  23  33  9  
At distance k = 4

i = 0;  13  8  33  27  20  19  29  34  9  15  22  23  
i = 1;  14  9  34  28  21  20  24  35  10  16  23  18  
i = 2;  15  10  35  29  22  21  25  30  11  17  18  19  
i = 3;  16  11  30  24  23  22  26  31  6  12  19  20  
i = 4;  17  6  31  25  18  23  27  32  7  13  20  21  
i = 5;  12  7  32  26  19  18  28  33  8  14  21  22  
i = 6;  19  14  3  33  26  25  35  4  15  21  28  29  
i = 7;  20  15  4  34  27  26  30  5  16  22  29  24  
i = 8;  21  16  5  35  28  27  31  0  17  23  24  25  
i = 9;  22  17  0  30  29  28  32  1  12  18  25  26  
i = 10;  23  12  1  31  24  29  33  2  13  19  26  27  
i = 11;  18  13  2  32  25  24  34  3  14  20  27  28  
i = 12;  25  20  9  3  32  31  5  10  21  27  34  35  
i = 13;  26  21  10  4  33  32  0  11  22  28  35  30  
i = 14;  27  22  11  5  34  33  1  6  23  29  30  31  
i = 15;  28  23  6  0  35  34  2  7  18  24  31  32  
i = 16;  29  18  7  1  30  35  3  8  19  25  32  33  
i = 17;  24  19  8  2  31  30  4  9  20  26  33  34  
i = 18;  31  26  15  9  2  1  11  16  27  33  4  5  
i = 19;  32  27  16  10  3  2  6  17  28  34  5  0  
i = 20;  33  28  17  11  4  3  7  12  29  35  0  1  
i = 21;  34  29  12  6  5  4  8  13  24  30  1  2  
i = 22;  35  24  13  7  0  5  9  14  25  31  2  3  
i = 23;  30  25  14  8  1  0  10  15  26  32  3  4  
i = 24;  1  32  21  15  8  7  17  22  33  3  10  11  
i = 25;  2  33  22  16  9  8  12  23  34  4  11  6  
i = 26;  3  34  23  17  10  9  13  18  35  5  6  7  
i = 27;  4  35  18  12  11  10  14  19  30  0  7  8  
i = 28;  5  30  19  13  6  11  15  20  31  1  8  9  
i = 29;  0  31  20  14  7  6  16  21  32  2  9  10  
i = 30;  7  2  27  21  14  13  23  28  3  9  16  17  
i = 31;  8  3  28  22  15  14  18  29  4  10  17  12  
i = 32;  9  4  29  23  16  15  19  24  5  11  12  13  
i = 33;  10  5  24  18  17  16  20  25  0  6  13  14  
